Log file open, 03/09/15 21:21:45
LogInit:Display: Running engine for game: Besieged
LogInit: Version: 4.7.2-2467323+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Mar  2 2015 23:16:34
[2015.03.10-02.22.06:126][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete_Poured_N.uasset (7452814) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete_Poured_N.uasset
[2015.03.10-02.22.06:130][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete_Tiles_D.uasset (4956380) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete_Tiles_D.uasset
[2015.03.10-02.22.06:133][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete_Tiles_M.uasset (5759659) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete_Tiles_M.uasset
[2015.03.10-02.22.06:136][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete_Tiles_N.uasset (6611650) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete_Tiles_N.uasset
[2015.03.10-02.22.06:140][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete_Tiles_Variation_M.uasset (4809) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete_Tiles_Variation_M.uasset
[2015.03.10-02.22.06:141][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete_Wall07.uasset (453) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete_Wall07.uasset
[2015.03.10-02.22.06:141][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete_Wall07_N.uasset (455) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete_Wall07_N.uasset
[2015.03.10-02.22.06:142][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete_Wall_D.uasset (453) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete_Wall_D.uasset
[2015.03.10-02.22.06:143][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete_Wall_N.uasset (453) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete_Wall_N.uasset
[2015.03.10-02.22.06:143][  0]LogPackFactory: Content/StarterContent/Textures/T_DesertCrystal01_N.uasset (455) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_DesertCrystal01_N.uasset
[2015.03.10-02.22.06:146][  0]LogPackFactory: Content/StarterContent/Textures/T_Detail_Rocky_N.uasset (2850093) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Detail_Rocky_N.uasset
[2015.03.10-02.22.06:147][  0]LogPackFactory: Content/StarterContent/Textures/T_Dirt_D.uasset (444) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Dirt_D.uasset
[2015.03.10-02.22.06:148][  0]LogPackFactory: Content/StarterContent/Textures/T_Dirt_N.uasset (444) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Dirt_N.uasset
[2015.03.10-02.22.06:149][  0]LogPackFactory: Content/StarterContent/Textures/T_Door_M.uasset (554190) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Door_M.uasset
[2015.03.10-02.22.06:150][  0]LogPackFactory: Content/StarterContent/Textures/T_Door_N.uasset (1074859) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Door_N.uasset
[2015.03.10-02.22.06:151][  0]LogPackFactory: Content/StarterContent/Textures/T_Dust_Particle_D.uasset (32071) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Dust_Particle_D.uasset
[2015.03.10-02.22.06:152][  0]LogPackFactory: Content/StarterContent/Textures/T_Explosion_SubUV.uasset (3004336) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Explosion_SubUV.uasset
[2015.03.10-02.22.06:154][  0]LogPackFactory: Content/StarterContent/Textures/T_Fire_SubUV.uasset (525012) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Fire_SubUV.uasset
[2015.03.10-02.22.06:154][  0]LogPackFactory: Content/StarterContent/Textures/T_Fire_Tiled_D.uasset (553370) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Fire_Tiled_D.uasset
[2015.03.10-02.22.06:155][  0]LogPackFactory: Content/StarterContent/Textures/T_Frame_M.uasset (536068) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Frame_M.uasset
[2015.03.10-02.22.06:156][  0]LogPackFactory: Content/StarterContent/Textures/T_Frame_N.uasset (1249187) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Frame_N.uasset
[2015.03.10-02.22.06:158][  0]LogPackFactory: Content/StarterContent/Textures/T_Generic_Concrete_Base02.uasset (461) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Generic_Concrete_Base02.uasset
[2015.03.10-02.22.06:160][  0]LogPackFactory: Content/StarterContent/Textures/T_Generic_Concrete_Base02_N.uasset (463) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Generic_Concrete_Base02_N.uasset
[2015.03.10-02.22.06:160][  0]LogPackFactory: Content/StarterContent/Textures/T_Generic_Concrete_Base04_D.uasset (463) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Generic_Concrete_Base04_D.uasset
[2015.03.10-02.22.06:161][  0]LogPackFactory: Content/StarterContent/Textures/T_Generic_Concrete_Base04_N.uasset (463) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Generic_Concrete_Base04_N.uasset
[2015.03.10-02.22.06:162][  0]LogPackFactory: Content/StarterContent/Textures/T_Generic_Concrete_Base_06.uasset (462) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Generic_Concrete_Base_06.uasset
[2015.03.10-02.22.06:163][  0]LogPackFactory: Content/StarterContent/Textures/T_Generic_Concrete_Base_06_N.uasset (464) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Generic_Concrete_Base_06_N.uasset
[2015.03.10-02.22.06:164][  0]LogPackFactory: Content/StarterContent/Textures/T_Generic_Concrete_Base_07.uasset (462) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Generic_Concrete_Base_07.uasset
[2015.03.10-02.22.06:164][  0]LogPackFactory: Content/StarterContent/Textures/T_Generic_Concrete_Base_07_N.uasset (464) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Generic_Concrete_Base_07_N.uasset
[2015.03.10-02.22.06:165][  0]LogPackFactory: Content/StarterContent/Textures/T_Gradinet_01.uasset (5447) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Gradinet_01.uasset
[2015.03.10-02.22.06:166][  0]LogPackFactory: Content/StarterContent/Textures/T_Gravel_D.uasset (425) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Gravel_D.uasset
[2015.03.10-02.22.06:168][  0]LogPackFactory: Content/StarterContent/Textures/T_Gravel_N.uasset (425) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Gravel_N.uasset
[2015.03.10-02.22.06:169][  0]LogPackFactory: Content/StarterContent/Textures/T_Ground_01_D.uasset (449) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Ground_01_D.uasset
[2015.03.10-02.22.06:169][  0]LogPackFactory: Content/StarterContent/Textures/T_Ground_01_N.uasset (449) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Ground_01_N.uasset
[2015.03.10-02.22.06:170][  0]LogPackFactory: Content/StarterContent/Textures/T_Ground_02_D.uasset (449) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Ground_02_D.uasset
[2015.03.10-02.22.06:171][  0]LogPackFactory: Content/StarterContent/Textures/T_Ground_02_N.uasset (449) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Ground_02_N.uasset
[2015.03.10-02.22.06:171][  0]LogPackFactory: Content/StarterContent/Textures/T_Ground_Detail_N.uasset (453) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Ground_Detail_N.uasset
[2015.03.10-02.22.06:172][  0]LogPackFactory: Content/StarterContent/Textures/T_Ground_Dirt_D.uasset (451) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Ground_Dirt_D.uasset
[2015.03.10-02.22.06:173][  0]LogPackFactory: Content/StarterContent/Textures/T_Ground_Dirt_N.uasset (451) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Ground_Dirt_N.uasset
[2015.03.10-02.22.06:173][  0]LogPackFactory: Content/StarterContent/Textures/T_Ground_Grass_D.uasset (12014827) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Ground_Grass_D.uasset
[2015.03.10-02.22.06:179][  0]LogPackFactory: Content/StarterContent/Textures/T_Ground_Grass_N.uasset (11617917) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Ground_Grass_N.uasset
[2015.03.10-02.22.06:184][  0]LogPackFactory: Content/StarterContent/Textures/T_Ground_Gravel_D.uasset (10627659) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Ground_Gravel_D.uasset
[2015.03.10-02.22.06:190][  0]LogPackFactory: Content/StarterContent/Textures/T_Ground_Gravel_N.uasset (7408581) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Ground_Gravel_N.uasset
[2015.03.10-02.22.06:193][  0]LogPackFactory: Content/StarterContent/Textures/T_ground_Moss_D.uasset (13034653) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_ground_Moss_D.uasset
[2015.03.10-02.22.06:200][  0]LogPackFactory: Content/StarterContent/Textures/T_Ground_Moss_N.uasset (8389816) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Ground_Moss_N.uasset
[2015.03.10-02.22.06:204][  0]LogPackFactory: Content/StarterContent/Textures/T_Ground_Noise_N.uasset (431) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Ground_Noise_N.uasset
[2015.03.10-02.22.06:205][  0]LogPackFactory: Content/StarterContent/Textures/T_Lamp_M.uasset (781809) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Lamp_M.uasset
[2015.03.10-02.22.06:206][  0]LogPackFactory: Content/StarterContent/Textures/T_Lamp_N.uasset (2076923) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Lamp_N.uasset
[2015.03.10-02.22.06:208][  0]LogPackFactory: Content/StarterContent/Textures/T_MacroVariation.uasset (10882792) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_MacroVariation.uasset
[2015.03.10-02.22.06:213][  0]LogPackFactory: Content/StarterContent/Textures/T_Metal_Aluminum_D.uasset (9680629) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Metal_Aluminum_D.uasset
[2015.03.10-02.22.06:219][  0]LogPackFactory: Content/StarterContent/Textures/T_Metal_Copper_D.uasset (8854788) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Metal_Copper_D.uasset
[2015.03.10-02.22.06:224][  0]LogPackFactory: Content/StarterContent/Textures/T_Metal_Dark_Gun_metal_E.uasset (460) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Metal_Dark_Gun_metal_E.uasset
[2015.03.10-02.22.06:225][  0]LogPackFactory: Content/StarterContent/Textures/T_Metal_Dark_Gun_metal_N.uasset (460) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Metal_Dark_Gun_metal_N.uasset
[2015.03.10-02.22.06:225][  0]LogPackFactory: Content/StarterContent/Textures/T_Metal_Gold_D.uasset (8838906) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Metal_Gold_D.uasset
[2015.03.10-02.22.06:231][  0]LogPackFactory: Content/StarterContent/Textures/T_Metal_Gold_N.uasset (2813572) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Metal_Gold_N.uasset
[2015.03.10-02.22.06:234][  0]LogPackFactory: Content/StarterContent/Textures/T_Metal_Metal01_D.uasset (453) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Metal_Metal01_D.uasset
[2015.03.10-02.22.06:234][  0]LogPackFactory: Content/StarterContent/Textures/T_Metal_Metal01_N.uasset (453) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Metal_Metal01_N.uasset
[2015.03.10-02.22.06:263][  0]LogPackFactory: Content/StarterContent/Textures/T_Metal_Metal03_D.uasset (453) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Metal_Metal03_D.uasset
[2015.03.10-02.22.06:268][  0]LogPackFactory: Content/StarterContent/Textures/T_Metal_Metal03_N.uasset (453) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Metal_Metal03_N.uasset
[2015.03.10-02.22.06:268][  0]LogPackFactory: Content/StarterContent/Textures/T_Metal_Painted_04_D.uasset (456) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Metal_Painted_04_D.uasset
[2015.03.10-02.22.06:269][  0]LogPackFactory: Content/StarterContent/Textures/T_Metal_Painted_04_N.uasset (456) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Metal_Painted_04_N.uasset
[2015.03.10-02.22.06:274][  0]LogPackFactory: Content/StarterContent/Textures/T_Metal_Rust_01_D.uasset (453) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Metal_Rust_01_D.uasset
[2015.03.10-02.22.06:275][  0]LogPackFactory: Content/StarterContent/Textures/T_Metal_Rust_01_N.uasset (453) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Metal_Rust_01_N.uasset
[2015.03.10-02.22.06:277][  0]LogPackFactory: Content/StarterContent/Textures/T_Metal_Rust_D.uasset (9329320) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Metal_Rust_D.uasset
[2015.03.10-02.22.06:283][  0]LogPackFactory: Content/StarterContent/Textures/T_Metal_Rust_N.uasset (7504761) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Metal_Rust_N.uasset
[2015.03.10-02.22.06:288][  0]LogPackFactory: Content/StarterContent/Textures/T_Metal_Scuffed_D.uasset (453) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Metal_Scuffed_D.uasset
[2015.03.10-02.22.06:291][  0]LogPackFactory: Content/StarterContent/Textures/T_Metal_Scuffed_N.uasset (453) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Metal_Scuffed_N.uasset
[2015.03.10-02.22.06:294][  0]LogPackFactory: Content/StarterContent/Textures/T_Metal_Steel_D.uasset (3581726) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Metal_Steel_D.uasset
[2015.03.10-02.22.06:299][  0]LogPackFactory: Content/StarterContent/Textures/T_Metal_Steel_N.uasset (4922590) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Metal_Steel_N.uasset
[2015.03.10-02.22.06:303][  0]LogPackFactory: Content/StarterContent/Textures/T_Paint_Metal_Rust_D.uasset (456) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Paint_Metal_Rust_D.uasset
[2015.03.10-02.22.06:308][  0]LogPackFactory: Content/StarterContent/Textures/T_Paint_Metal_Rust_N.uasset (456) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Paint_Metal_Rust_N.uasset
[2015.03.10-02.22.06:319][  0]LogPackFactory: Content/StarterContent/Textures/T_PaintedMetal01.uasset (452) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_PaintedMetal01.uasset
[2015.03.10-02.22.06:327][  0]LogPackFactory: Content/StarterContent/Textures/T_PaintedMetal01_N.uasset (454) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_PaintedMetal01_N.uasset
[2015.03.10-02.22.06:340][  0]LogPackFactory: Content/StarterContent/Textures/T_PatchyGrass_D.uasset (451) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_PatchyGrass_D.uasset
[2015.03.10-02.22.06:516][  0]LogPackFactory: Content/StarterContent/Textures/T_PatchyGrass_N.uasset (451) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_PatchyGrass_N.uasset
[2015.03.10-02.22.06:725][  0]LogPackFactory: Content/StarterContent/Textures/T_Perlin_Noise_M.uasset (7869402) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Perlin_Noise_M.uasset
[2015.03.10-02.22.06:735][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_01_D.uasset (447) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_01_D.uasset
[2015.03.10-02.22.06:845][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_01_N.uasset (447) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_01_N.uasset
[2015.03.10-02.22.07:068][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_03_D.uasset (447) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_03_D.uasset
[2015.03.10-02.22.07:072][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_03_N.uasset (447) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_03_N.uasset
[2015.03.10-02.22.07:073][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_05_D.uasset (447) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_05_D.uasset
[2015.03.10-02.22.07:074][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_05_N.uasset (447) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_05_N.uasset
[2015.03.10-02.22.07:077][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_06_D.uasset (447) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_06_D.uasset
[2015.03.10-02.22.07:077][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_06_N.uasset (447) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_06_N.uasset
[2015.03.10-02.22.07:078][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_07_D.uasset (447) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_07_D.uasset
[2015.03.10-02.22.07:078][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_07_N.uasset (447) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_07_N.uasset
[2015.03.10-02.22.07:081][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_07b_D.uasset (448) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_07b_D.uasset
[2015.03.10-02.22.07:081][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_08_D.uasset (447) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_08_D.uasset
[2015.03.10-02.22.07:082][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_08_N.uasset (447) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_08_N.uasset
[2015.03.10-02.22.07:083][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_09_D.uasset (447) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_09_D.uasset
[2015.03.10-02.22.07:085][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_10_D.uasset (447) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_10_D.uasset
[2015.03.10-02.22.07:086][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_10_N.uasset (447) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_10_N.uasset
[2015.03.10-02.22.07:086][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_11b_D.uasset (448) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_11b_D.uasset
[2015.03.10-02.22.07:089][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_Basalt_D.uasset (9359943) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_Basalt_D.uasset
[2015.03.10-02.22.07:098][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_Basalt_N.uasset (7847129) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_Basalt_N.uasset
[2015.03.10-02.22.07:102][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_Detail_02_D.uasset (454) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_Detail_02_D.uasset
[2015.03.10-02.22.07:103][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_Detail_02_N.uasset (454) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_Detail_02_N.uasset
[2015.03.10-02.22.07:103][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_Detail_03_D.uasset (454) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_Detail_03_D.uasset
[2015.03.10-02.22.07:370][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_Marble_Polished_D.uasset (5327483) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_Marble_Polished_D.uasset
[2015.03.10-02.22.07:374][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_Sandstone_D.uasset (9234423) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_Sandstone_D.uasset
[2015.03.10-02.22.07:379][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_Sandstone_N.uasset (8399811) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_Sandstone_N.uasset
[2015.03.10-02.22.07:383][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_Slate_D.uasset (12333988) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_Slate_D.uasset
[2015.03.10-02.22.07:408][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_Slate_N.uasset (9649859) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_Slate_N.uasset
[2015.03.10-02.22.07:413][  0]LogPackFactory: Content/StarterContent/Textures/T_Rock_Smooth_Granite_D.uasset (8829490) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rock_Smooth_Granite_D.uasset
[2015.03.10-02.22.07:418][  0]LogPackFactory: Content/StarterContent/Textures/T_RockMesh_M.uasset (2706973) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_RockMesh_M.uasset
[2015.03.10-02.22.07:420][  0]LogPackFactory: Content/StarterContent/Textures/T_RockMesh_N.uasset (5375053) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_RockMesh_N.uasset
[2015.03.10-02.22.07:439][  0]LogPackFactory: Content/StarterContent/Textures/T_Rocky_01_N.uasset (448) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Rocky_01_N.uasset
[2015.03.10-02.22.07:440][  0]LogPackFactory: Content/StarterContent/Textures/T_Shelf_M.uasset (651298) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Shelf_M.uasset
[2015.03.10-02.22.07:441][  0]LogPackFactory: Content/StarterContent/Textures/T_Shelf_N.uasset (1639501) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Shelf_N.uasset
[2015.03.10-02.22.07:442][  0]LogPackFactory: Content/StarterContent/Textures/T_Single_Tile_N.uasset (6402) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Single_Tile_N.uasset
[2015.03.10-02.22.07:460][  0]LogPackFactory: Content/StarterContent/Textures/T_Sky_Clouds_M.uasset (450) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Sky_Clouds_M.uasset
[2015.03.10-02.22.07:461][  0]LogPackFactory: Content/StarterContent/Textures/T_Sky_Stars.uasset (447) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Sky_Stars.uasset
[2015.03.10-02.22.07:461][  0]LogPackFactory: Content/StarterContent/Textures/T_Smoke_SubUV.uasset (2630744) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Smoke_SubUV.uasset
[2015.03.10-02.22.07:464][  0]LogPackFactory: Content/StarterContent/Textures/T_Smoke_Tiled_D.uasset (91431) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Smoke_Tiled_D.uasset
[2015.03.10-02.22.07:466][  0]LogPackFactory: Content/StarterContent/Textures/T_Spark_Core.uasset (162316) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Spark_Core.uasset
[2015.03.10-02.22.07:466][  0]LogPackFactory: Content/StarterContent/Textures/T_Statue_M.uasset (546786) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Statue_M.uasset
[2015.03.10-02.22.07:467][  0]LogPackFactory: Content/StarterContent/Textures/T_Statue_N.uasset (515360) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Statue_N.uasset
[2015.03.10-02.22.07:468][  0]LogPackFactory: Content/StarterContent/Textures/T_Stone_Brick_D.uasset (451) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Stone_Brick_D.uasset
[2015.03.10-02.22.07:485][  0]LogPackFactory: Content/StarterContent/Textures/T_Stone_Brick_N.uasset (451) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Stone_Brick_N.uasset
[2015.03.10-02.22.07:486][  0]LogPackFactory: Content/StarterContent/Textures/T_TableRound_M.uasset (870486) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_TableRound_M.uasset
[2015.03.10-02.22.07:487][  0]LogPackFactory: Content/StarterContent/Textures/T_TableRound_N.uasset (1549086) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_TableRound_N.uasset
[2015.03.10-02.22.07:489][  0]LogPackFactory: Content/StarterContent/Textures/T_Tech_Dot_M.uasset (107174) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Tech_Dot_M.uasset
[2015.03.10-02.22.07:489][  0]LogPackFactory: Content/StarterContent/Textures/T_Tech_Dot_N.uasset (202333) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Tech_Dot_N.uasset
[2015.03.10-02.22.07:490][  0]LogPackFactory: Content/StarterContent/Textures/T_Tech_Hex_Tile_M.uasset (793459) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Tech_Hex_Tile_M.uasset
[2015.03.10-02.22.07:491][  0]LogPackFactory: Content/StarterContent/Textures/T_Tech_Hex_Tile_N.uasset (493875) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Tech_Hex_Tile_N.uasset
[2015.03.10-02.22.07:492][  0]LogPackFactory: Content/StarterContent/Textures/T_Tech_Panel_M.uasset (979689) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Tech_Panel_M.uasset
[2015.03.10-02.22.07:493][  0]LogPackFactory: Content/StarterContent/Textures/T_Tech_Panel_N.uasset (1860674) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Tech_Panel_N.uasset
[2015.03.10-02.22.07:494][  0]LogPackFactory: Content/StarterContent/Textures/T_Underground_Base_Pipe_D.uasset (461) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Underground_Base_Pipe_D.uasset
[2015.03.10-02.22.07:495][  0]LogPackFactory: Content/StarterContent/Textures/T_Underground_Base_Pipe_N.uasset (461) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Underground_Base_Pipe_N.uasset
[2015.03.10-02.22.07:496][  0]LogPackFactory: Content/StarterContent/Textures/T_UNV_Concrete02.uasset (452) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_UNV_Concrete02.uasset
[2015.03.10-02.22.07:497][  0]LogPackFactory: Content/StarterContent/Textures/T_UNV_Concrete02_N.uasset (454) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_UNV_Concrete02_N.uasset
[2015.03.10-02.22.07:497][  0]LogPackFactory: Content/StarterContent/Textures/T_Water_M.uasset (1696467) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Water_M.uasset
